strength,quantity,min,p05,median,p95,max,mean,ratio95_05
A0_ISOTROPIC,gamma,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A0_ISOTROPIC,mobility,4.0,4.0,4.0,4.0,4.0,4.0,1.0
A0_ISOTROPIC,stiffness,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A0_ISOTROPIC,reduced_mobility,4.0,4.0,4.0,4.0,4.0,4.0,1.0
A1_MODERATE,gamma,0.8032839682472922,0.8452707389321032,1.0084384514134181,1.1143677428230978,1.1266416567913793,1.0000000000000002,1.3183559911596678
A1_MODERATE,mobility,3.523934150707739,3.5627476078706493,3.936988920325591,4.696969653787351,4.942475098363787,4.0,1.318355991148807
A1_MODERATE,stiffness,0.3302695083506602,0.33444931863615585,0.6204365472071567,2.3672224310165677,3.639067399663341,0.9847409445885625,7.077970559694415
A1_MODERATE,reduced_mobility,1.3895832855796122,1.3992949362740363,2.401522844254966,9.64590038604787,17.986000004103524,4.008502651394803,6.893400480482285
A2_STRONG,gamma,0.6652372343559098,0.7393367618139759,1.0120533716428655,1.2158691422888712,1.2368626300677308,1.0,1.6445403570975081
A2_STRONG,mobility,2.417577964174112,2.501783660140607,3.6109094074295958,6.766106396929358,8.357383399240009,4.0,2.704512985966614
A2_STRONG,stiffness,0.12829644788667924,0.12988325880523272,0.19803361068461076,4.883831409162185,8.159628723515477,0.9757245961504901,37.60170058934051
A2_STRONG,reduced_mobility,0.4731335910990867,0.4864384937570874,0.7014127329148275,20.30093408934297,68.19314563787019,4.221653243306263,41.73381496300874
